url,name,title
http://www.epocacosmeticos.com.br/agua-termal-mineral-spray-evian-brumisateur-agua-termal/p,Água Termal Mineral Spray Evian Brumisateur - Água Termal,Água Termal Mineral Spray Evian Brumisateur - Água Termal - Época Cosméticos
http://www.epocacosmeticos.com.br/xs-eau-de-toilette-paco-rabanne-perfume-masculino/p,XS Eau de Toilette Paco Rabanne - Perfume Masculino,XS Eau de Toilette Paco Rabanne - Perfume Masculino na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/black-xs-potion-for-him-eau-de-toilette-paco-rabanne-perfume-masculino/p,Black XS Potion for Him Eau de Toilette Paco Rabanne - Perfume Masculino - 100ml,Black XS Potion for Him EDT Paco Rabanne - Perfume Masculino - Época Cosméticos
http://www.epocacosmeticos.com.br/blue-seduction-for-men-eau-de-toilette-antonio-banderas-perfume-masculino/p,Blue Seduction For Men Eau de Toilette Antonio Banderas - Perfume Masculino,Blue Seduction For Men Eau de Toilette Antonio Banderas - Perfume Masculino na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/brilho-intenso-dermatus-shampoo-iluminador/p,Brilho Intenso Dermatus - Shampoo Iluminador - 240ml,Shampoo Brilho Intenso Dermatus - Época Cosméticos
http://www.epocacosmeticos.com.br/united-dreams-love-yourself-eau-de-toilette-benetton-perfume-feminino/p,United Dreams Love Yourself Eau de Toilette Benetton - Perfume Feminino,Perfume United Dreams Love Youself Benetton - Época Cosméticos
http://www.epocacosmeticos.com.br/effaclar-gel-la-roche-posay-limpador-facial/p,Effaclar Gel La Roche Posay - Limpador Facial,Effaclar Gel La Roche Posay - Limpador Facial na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/dramatically-different-moisturizing-gel-in-tube-clinique-gel-hidratante-para-peles-mistas-a-oleosas/p,Dramatically Different Moisturizing Gel In Tube Clinique - Gel Hidratante para Peles Mistas a Oleosas - 50ml,Dramatically Different Moisturizing Gel In Tube Clinique - Gel Hidratante para Peles Mistas a Oleosas na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/dramatically-different-moisturizing-gel-with-pump-clinique-gel-hidratante-para-peles-mistas-a-oleosas/p,Dramatically Different Moisturizing Gel With Pump Clinique - Gel Hidratante para Peles Mistas a Oleosas - 125ml,Dramatically Different Moisturizing Gel With Pump Clinique - Gel Hidratante para Peles Mistas a Oleosas na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/solar-expertise-invisilight-spf-30-l-oreal-paris-protetor-solar-/p,Solar Expertise Invisilight SPF 30 L'oréal Paris - Protetor Solar,Solar Expertise Invisilight SPF 30 L'oréal Paris - Protetor Solar na Época Cosméticos Perfumaria - Época Cosméticos
http://www.epocacosmeticos.com.br/residuos-free-dermatus-shampoo-antirresiduos/p,Residuos Free Dermatus - Shampoo Antirresíduos - 120ml,Residuos Free Dermatus - Shampoo Antirresíduos - Época Cosméticos
